label,text
ham,"“Vai até o ponto final, louco… Só disponível no bugis e na grande mundo la, e no buffet… Cine lá, tem amore wat?”"
ham,"“Ok lar... Joking wif u oni…”
"
spam,"“Olá! Sua entrada para os bilhetes da final da FA Cup está suspensa devido a atividade suspeita. Para verificar seus dados, clique aqui: [link]""
"
ham,"“Ei, você disse que está muito cedo… Já, então diz…”"
ham,"“Não, eu não acho que ele vai para nós, ele vive por aqui, mesmo.”"
spam,“Oi! Já faz 3 semanas e não tem resposta! Queria algo divertido pra gente fazer ainda? Ok! Beijo! XxX”
ham,“Meu irmão não fala comigo. Eles me tratam como um patente de assistência.”
ham,“Oi! Sua chamada está definida como o callertune para todos os Callers. Pressione *9 para copiar o callertune dos seus amigos.”
spam,"“Vencedor(a)! Como cliente valiosa da nossa rede, você foi selecionado(a) para receber um prêmio de 900 libras! Para reclamar, ligue 09061701461. Código de claim: KL341. Validade de 12 horas apenas.”"
spam,"“Você já tinha o celular há 11 meses ou mais? Você tem direito a atualizar para os novos celulares com câmera, totalmente grátis! Ligue para A Mobile Update Co GRATIS no 08002986030.”
"
ham,"“Vou estar em casa em breve e não quero falar sobre essas coisas hoje, né? Eu chorei o suficiente hoje.”"
spam,"“Six chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info”
"
spam,“URGENTE! Você ganhou uma assinatura de 1 semana GRATUITA em nossa premiação de 100.000 libras! Txt a palavra: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18”
ham,“Estou procurando as palavras certas para te agradecer por esse descanso. Prometo que não vou usar sua ajuda sem valor e vou cumprir meu compromisso. Você tem sido maravilhoso e uma bênção em todos os momentos.”
ham,“E eu tenho um encontro de domingo com Will!”
spam,"“Olá! Use seu crédito, clique no link da WAP no próximo texto ou clique aqui: http://wap. xxxMobileMovieClub?n=QJKGIGHJJGCBL”
"
ham,“Olá! Você está vendo isso?!”
ham,"“Ei, você se lembra de como escrever o nome dele...? Sim, eu sei. Ele fez uma coisa muito mal até eu ficar encharcada.”"
ham,"“Está bem se for o que você sente. Isso é o que é, é que caiu assim.”"
spam,"“England vs. Macedonia – não perca os gols/notícias da equipe. Texto para a equipe nacional para 87077 EG, ENGLAND. Txt/Ì¼1.20 POBOXox36504W45WQ 16+”."
ham,"“É que é de verdade, né? Como você escreve o nome dele?”"
ham,"“Vou tentar por 2 meses, só estou rindo.”"
ham,"“Então, primeiro, preciso pagar… Depois, quando a cotação vai chegar?”"
ham,"“Eu termino meu almoço, depois vou para baixo lá. Algo aqui, certo? U termino meu almoço já?”"
ham,"“Olá! Seu acesso à conta da Amazon foi suspenso por atividade estranha. Pra verificar seus dados, clique aqui: [link]""

“Alright, não posso te encontrar mais cedo?”"
ham,"“Aí, me forçei a comer uma fatia. Realmente não estou com fome, né? Isso tá péssimo. Mark tá preocupado. Ele sabe que eu tô doente quando eu desisto de pizza. 😂”"
ham,"“Haha, você sempre é tão convincente.”"
ham,“Você pegou o ônibus? Você fritando um ovo? Você fez um chá? Você comendo a sobremesa da sua mãe? Você sente meu amor?”
ham,"“Estou de volta e estamos embalando o carro agora, avisarei se tem espaço.”"
ham,“Ahhh. Trabalho. Eu vagamente lembro disso! O que é isso? Lol”
ham,"“Calma, isso ainda não está totalmente claro. Você não estava seguro(a) de que eu estava sendo sarcástica ou que isso é a razão pela qual x não quer viver com nós?”"
ham,"“E aí, ele entrou por 2 e tava super arrependido. Ela tinha saído e estava agindo como uma criança mimada e ele se envolveu com isso. Até 2! Mas não vamos nisso! Não estamos muito ruins, hein? Você?”"
ham,“K tell me anything about you.”
ham,"“Calma, tá? Você fez tanta bagunça, né? Rapidinho, uma xícara de chá, tá?”"
spam,"""Obrigado pela sua assinatura do Ringtone UK, seu celular será cobrado £5/mês. Confirme respondendo YES ou NO. Se responder NO, não será cobrado.""
"
ham,"“Ué… Ok, eu vou pra casa. Depois eu mando uma mensagem pra você de novo… Xuhui também vai estudar no segundo de maio, também, mas a aula dela é às 8 da manhã.”"
